-72,240,-1096
-80,272,-1112
-72,264,-1024
-96,240,-992
-88,184,-992
-88,152,-960
-80,144,-944
-80,144,-960
-88,160,-984
-80,184,-1000
-64,208,-1016
-48,232,-1000
-64,232,-992
-56,200,-968
-56,136,-920
-64,88,-888
-56,56,-896
-56,88,-936
-64,120,-936
-64,144,-952
-64,184,-1024
-72,208,-1048
-72,224,-1064
-72,208,-1040
-80,160,-960
-72,120,-928
-48,104,-880
-40,136,-976
-40,176,-984
-56,192,-1016
-56,184,-1032
-64,176,-992
-64,184,-976
-72,192,-960
-72,200,-880
-80,192,-936
-72,200,-968
-72,200,-968
-72,176,-1024
-88,160,-992
-80,136,-952
-80,128,-984
-80,128,-944
-96,152,-920
-80,152,-968
-72,160,-992
-72,152,-992
-64,136,-1008
-48,128,-984
-40,120,-992
-40,112,-1008
-48,104,-992
-56,88,-1008
-64,104,-1008
-56,104,-1016
-40,96,-1000
-40,112,-984
-48,104,-992
-56,72,-992
-48,48,-1000
-40,64,-1024
-48,80,-1024
-40,96,-1000
-40,104,-992
-40,96,-992
-40,88,-992
-48,80,-992
-40,64,-976
-40,72,-992
-56,80,-992
-56,72,-1008
-48,64,-968
-48,72,-968
-56,80,-968
-56,80,-984
-48,80,-984
-48,72,-992
-56,64,-1008
-56,80,-1024
-56,96,-1040
-48,104,-1032
-40,96,-1016
-40,88,-1000
-48,104,-1016
-64,96,-1024
-72,112,-1048
-72,96,-1016
-56,80,-1000
-56,64,-1000
-40,72,-1008
-48,88,-992
-40,88,-984
-64,80,-1008
-56,80,-1016
-56,88,-1000
-56,104,-1032
-56,88,-1024
-56,64,-1008
-48,56,-1056
-48,72,-1064
-48,48,-1008
-48,56,-1008
-56,56,-1008
-56,56,-1016
-56,56,-1008
-48,64,-968
-48,64,-1024
-48,40,-1008
-48,56,-992
-48,56,-1000
-72,56,-992
-48,56,-1000
-48,64,-984
-48,64,-976
-48,56,-1000
-48,64,-1072
-40,56,-968
-48,56,-992
-40,64,-992
-40,80,-968
-48,88,-1024
-48,72,-1016
-32,64,-1064
-32,64,-1016
-16,80,-1008
-24,72,-1008
0,64,-1008
-8,56,-1008
-24,48,-1008
-24,40,-1000
-24,32,-1048
-8,32,-992
-24,32,-984
-40,32,-984
-32,40,-992
-48,56,-1032
-32,40,-1000
-24,24,-1024
-16,32,-992
-24,40,-1000
-32,40,-952
-16,40,-888
-24,48,-960
-24,56,-960
24,40,-1000
-8,40,-960
16,48,-968
-8,56,-992
-16,48,-1000
-48,48,-1064
-16,48,-1008
-24,56,-1000
-24,56,-1000
-24,48,-1000
-24,40,-976
-8,48,-1000
-24,48,-1040
-32,24,-984
-40,32,-1000
-40,16,-984
-32,16,-944
-32,48,-928
-48,48,-1008
-56,40,-1000
-48,80,-992
-32,80,-1024
-40,64,-1040
-40,56,-1048
-40,80,-1056
-40,64,-1080
-48,48,-1024
-56,48,-1104
-64,40,-1152
-80,40,-1184
-56,32,-1168
-40,-8,-1240
-24,-32,-1256
-16,-80,-1128
2032,352,-952
880,2112,-1240
216,856,-2920
-240,-960,-3112
32,-544,-2688
224,72,-952
120,712,-456
-72,648,-144
-224,272,-360
-240,-128,-832
24,-560,-1088
208,-432,-1248
216,-104,-1536
152,168,-1344
88,312,-1152
0,296,-1008
-64,160,-1024
-80,0,-1040
-24,-96,-1080
32,-128,-1072
80,-104,-1056
32,-24,-1008
8,32,-968
0,56,-944
-16,32,-960
8,-8,-976
24,-40,-912
8,-48,-984
0,-16,-960
-16,16,-984
-32,40,-952
-16,32,-976
0,72,-952
8,40,-984
8,32,-984
16,24,-976
16,8,-1016
16,8,-984
24,-16,-1072
16,-8,-1032
16,8,-1008
24,16,-960
16,24,-992
0,8,-1016
8,8,-1024
-8,-16,-1016
0,-32,-1016
8,-16,-1032
0,0,-1016
0,-24,-1016
-8,-24,-1024
-16,-40,-1000
24,-48,-1080
16,-48,-1016
16,-56,-1016
16,-48,-1000
8,-8,-1000
8,-32,-1040
8,-32,-1008
16,-24,-1008
32,-48,-1056
32,-32,-992
32,-24,-984
32,-24,-1016
32,-16,-1000
8,-24,-992
16,-24,-1056
32,-16,-1008
32,-16,-1000
32,-16,-1000
32,-24,-1008
24,-8,-960
16,-16,-1032
16,-8,-1000
24,-16,-936
16,-8,-1008
16,8,-984
16,-8,-1000
-24,-8,-1008
-8,-8,-1064
0,-16,-1032
8,-8,-1008
8,-8,-1008
8,16,-1000
8,-16,-1024
8,-16,-984
8,-16,-1024
8,-8,-1000
-24,0,-984
0,-8,-1008
0,-24,-1000
-16,8,-1024
16,8,-1000
16,-24,-1032
16,-8,-1016
0,-16,-1016
0,16,-1000
0,32,-1088
8,0,-992
16,0,-1056
24,16,-1040
16,-8,-1008
0,0,-960
0,8,-1016
0,8,-1024
8,-8,-1016
8,-24,-1008
16,-40,-1000
8,-24,-1000
16,-16,-1056
8,-24,-1016
-8,-24,-1016
24,-24,-968
24,-24,-1000
40,-24,-1024
8,-16,-1008
8,8,-1000
-8,0,-1072
8,-8,-1016
8,-16,-984
-8,-8,-952
-8,-8,-984
8,-8,-1000
8,-16,-992
16,-16,-1016
24,-32,-1000
32,-32,-984
40,-16,-984
32,-8,-984
24,-16,-992
8,-16,-1008
-8,-16,-960
-8,-24,-976
0,-8,-1008
24,-8,-1008
0,-16,-1000
8,-24,-1016
0,-8,-1000
0,-8,-1008
0,-16,-1096
8,16,-984
8,32,-1024
16,32,-1008
16,16,-1016
16,16,-1048
8,40,-1024
8,24,-1024
16,0,-1016
32,-8,-1000
24,-16,-1048
24,-8,-1072
16,-16,-1096
24,-16,-1024
16,-24,-1048
16,-24,-1016
8,-24,-1000
8,0,-1008
8,-8,-1016
8,-16,-1008
16,16,-1064
24,-16,-1016
24,-32,-1000
32,-16,-1040
32,-24,-1048
24,-16,-1088
16,-16,-1064
40,-16,-1064
32,-24,-1112
56,-40,-1088
40,-56,-1224
24,-56,-1256
24,-56,-1328
8,-40,-1296
-856,1872,4080
-2248,1128,-1816
-1312,952,-1280
-80,512,-3144
-576,-480,-2520
-8,-2088,-2672
352,-1120,-944
384,152,-432
144,728,-544
-168,608,-112
-344,248,-1152
-168,-168,-1448
112,-392,-1464
264,-208,-1384
224,0,-1280
96,96,-1056
-8,96,-952
-56,32,-968
-40,-40,-976
8,-104,-1008
48,-128,-992
96,-112,-1080
40,-56,-1024
8,8,-936
-8,16,-920
0,-24,-904
24,-64,-928
64,-112,-864
40,-80,-992
32,-48,-1024
24,-16,-1032
24,0,-992
24,8,-992
8,24,-968
40,-32,-952
32,-40,-1008
64,-32,-984
88,-24,-1000
72,-24,-1008
56,-16,-1040
48,-32,-1072
24,-16,-1008
40,-16,-984
32,-24,-984
32,-32,-968
32,-56,-1032
40,-48,-968
48,-40,-1040
40,-40,-984
32,-32,-1008
32,-40,-992
24,-48,-992
40,-48,-976
32,-56,-992
40,-48,-992
32,-48,-952
32,-40,-952
24,-56,-1000
24,-56,-1000
32,-48,-1000
32,-48,-1024
40,-32,-1032
24,-32,-976
16,-48,-1000
24,-48,-1008
48,-48,-1024
40,-56,-1024
32,-48,-1016
24,-48,-984
32,-48,-1000
32,-40,-992
64,-32,-1008
48,-32,-1000
40,-32,-984
40,-40,-1008
32,-24,-976
-16,8,-1064
0,-16,-992
16,-32,-984
32,-24,-1000
48,-8,-1048
40,-24,-1032
32,-8,-1008
40,-32,-992
40,-32,-1000
48,-24,-1056
40,-24,-1024
32,-24,-1016
32,-24,-1032
32,-24,-1032
32,-24,-1048
24,-32,-1024
16,-32,-1016
32,-32,-984
32,-40,-1008
32,-56,-1008
40,-40,-992
32,-56,-1000
32,-48,-992
24,-48,-1024
24,-56,-1040
24,-56,-992
32,-32,-984
40,-24,-992
40,-24,-992
16,-24,-992
32,-32,-1024
32,-16,-1000
32,-24,-1000
24,-16,-1048
32,-16,-968
56,-8,-1024
40,-24,-1016
40,-40,-1000
32,-40,-1024
32,0,-984
32,-8,-1032
24,-8,-1016
32,-24,-1024
8,-32,-1008
0,-8,-1032
-16,-40,-992
-8,-40,-1008
8,-40,-1000
8,-48,-992
16,-64,-1024
24,-56,-1056
24,-32,-1024
32,-32,-1000
48,-24,-1016
40,-40,-1016
48,-40,-1040
56,-40,-1008
64,-32,-1000
56,-32,-1016
32,-24,-984
32,-24,-1000
24,-16,-1024
40,-40,-1072
24,-24,-992
24,-48,-1000
32,-40,-1080
32,-32,-1008
32,-24,-1024
56,-24,-992
40,-40,-984
32,-40,-984
32,-48,-984
64,-56,-1008
72,-72,-1008
48,-48,-1000
40,-24,-1024
32,-16,-1024
32,-24,-1016
48,-56,-1040
56,-56,-1032
48,-72,-1104
40,-72,-1184
40,-32,-1256
56,-16,-1272
56,24,-1424
56,0,-1456
48,416,376
1192,-1832,-504
-152,744,-2280
632,1592,-4048
1528,560,-4056
880,-272,-1952
584,-1280,-968
472,-776,-744
256,-80,56
224,144,-648
184,360,-1928
0,104,-1464
-128,-208,-1296
-72,-200,-1064
88,-56,-896
128,88,-904
40,80,-944
-32,-56,-920
-32,-88,-976
0,-104,-976
-8,-88,-912
-40,-48,-928
-48,-16,-840
-40,8,-896
-32,24,-824
-16,8,-824
-16,-16,-848
-8,-32,-856
-8,-32,-904
-8,-24,-944
-8,-8,-1008
8,8,-1032
8,24,-984
0,16,-1008
8,0,-1000
8,-32,-952
-24,-56,-992
-16,-24,-976
-16,-32,-976
-16,-8,-1016
-16,8,-1008
-32,-16,-1016
-32,-24,-1040
-24,-16,-960
-24,-16,-984
-24,-24,-1016
-24,-40,-968
-16,-32,-1016
-40,-16,-992
-40,-8,-1008
-48,-8,-1000
-64,-32,-992
-56,-56,-984
-48,-32,-1008
-48,-24,-1000
-40,-8,-1032
-32,8,-1040
-8,8,-1072
0,16,-1056
0,0,-1088
0,8,-1080
-24,48,-1104
16,24,-976
16,0,-984
24,24,-1000
0,40,-1000
-16,48,-1000
-48,64,-1032
-40,40,-1040
-40,24,-1008
-40,8,-1032
-32,-16,-936
-64,-32,-1000
-80,-40,-1008
-56,-32,-1000
-40,-24,-1000
-40,-32,-1024
-32,-56,-1056
-64,-72,-1024
-72,-88,-1008
-48,-80,-968
-32,-80,-1064
-32,-48,-1000
-24,-16,-968
-24,-24,-1024
-32,-32,-992
-56,-56,-1016
-40,-48,-1008
-40,-40,-1032
-24,-56,-1032
-136,-80,-848
-96,0,-968
-48,0,-1016
16,-40,-1048
88,-88,-1048
88,-80,-1032
64,-48,-1088
16,-24,-952
24,-56,-1032
56,-8,-1024
8,-16,-992
-72,-24,-1024
-80,24,-936
-48,8,-992
-40,-8,-984
-88,8,-992
-64,-16,-984
